iter	Logloss
0	0.651466608
1	0.6051188707
2	0.5702829957
3	0.5377895832
4	0.5016888976
5	0.4803696871
6	0.4547650218
7	0.4362328947
8	0.4089744687
9	0.3931133151
10	0.3695653081
11	0.3479526639
12	0.3281159401
13	0.3167143166
14	0.302678436
15	0.2896203399
16	0.2744729519
17	0.2658419311
18	0.2551463842
19	0.2426146269
20	0.2310062051
21	0.2202055901
22	0.2102223337
23	0.2046355009
24	0.1992792487
25	0.1907088161
26	0.1826981157
27	0.1767812073
28	0.1711877286
29	0.1658933312
30	0.1606860906
31	0.1559157819
32	0.1525071263
33	0.1469061971
34	0.1438367367
35	0.1387607604
36	0.1349330842
37	0.131385535
38	0.1278931499
39	0.1245233566
40	0.1204968542
41	0.117535755
42	0.1154362857
43	0.1134129465
44	0.1114754379
45	0.1081714705
46	0.1050250977
47	0.1026470736
48	0.0997582823
49	0.09820315987
50	0.09668944031
51	0.09407311678
52	0.09157654643
53	0.08973328769
54	0.08742952347
55	0.08522535861
56	0.08311872184
57	0.08199306577
58	0.0800241828
59	0.07897594571
60	0.07713272423
61	0.07615271211
62	0.07442623377
63	0.07276885957
64	0.07118094712
65	0.06965216249
66	0.06852571666
67	0.06710146368
68	0.06573410332
69	0.06441676617
70	0.06315051764
71	0.06189108267
72	0.06067137048
73	0.05948480219
74	0.05837693065
75	0.05731087551
76	0.05628074706
77	0.05527869239
78	0.05431107804
79	0.05337005854
80	0.05245710164
81	0.05157443136
82	0.05071361735
83	0.04988212138
84	0.04907104373
85	0.04828515649
86	0.04752188921
87	0.04677996784
88	0.04605682194
89	0.0453543812
90	0.04467196018
91	0.04400743544
92	0.04336225241
93	0.04273348302
94	0.04212065041
95	0.04152635857
96	0.04094511643
97	0.04038105533
98	0.03982955962
99	0.03929240257
100	0.03876945376
101	0.03825756162
102	0.03776216507
103	0.03727433085
104	0.0368023552
105	0.03634078801
106	0.03588943183
107	0.03544736654
108	0.03501754254
109	0.03459957987
110	0.03418806195
111	0.03378827125
112	0.0333972536
113	0.033014521
114	0.03264027834
115	0.03227440268
116	0.03191593289
117	0.03156855702
118	0.0312217325
119	0.03085681051
120	0.03050898574
121	0.03017138876
122	0.02985645644
123	0.02954825759
124	0.02924310602
125	0.0289443247
126	0.02865167521
127	0.02836479619
128	0.02808440663
129	0.0278067477
130	0.02753485367
131	0.02726869471
132	0.02700529993
133	0.02674779296
134	0.02649297379
135	0.02624392137
136	0.02599971741
137	0.02575863898
138	0.02552237362
139	0.02528890595
140	0.02506048977
141	0.02483744174
142	0.02461627871
143	0.0243980363
144	0.02418444306
145	0.02397301793
146	0.02376639843
147	0.02356217802
148	0.02336248942
149	0.02316519991
150	0.0229721237
151	0.02277876064
152	0.02259233221
153	0.02240525931
154	0.02222520113
155	0.02204453945
156	0.02186848223
157	0.02169395238
158	0.02152370289
159	0.02135261893
160	0.02118849941
161	0.02102334052
162	0.02086235024
163	0.02070300095
164	0.02054473385
165	0.02039134875
166	0.0202389285
167	0.0200883504
168	0.01994137838
169	0.01979573071
170	0.01965207979
171	0.01950923726
172	0.01937063411
173	0.01923304051
174	0.01909684017
175	0.01896172017
176	0.01883073524
177	0.01870054379
178	0.01857211441
179	0.01844453067
180	0.01832067221
181	0.01819785126
182	0.01807387173
183	0.01795573905
184	0.01783624664
185	0.01772067323
186	0.01760326326
187	0.01748929545
